Chromosome	Start	End	NExCap
chr1H	0	1e+06	61
chr1H	1e+06	2e+06	79
chr1H	2e+06	3e+06	86
chr1H	3e+06	4e+06	87
chr1H	4e+06	5e+06	106
chr1H	5e+06	6e+06	92
chr1H	6e+06	7e+06	55
chr1H	7e+06	8e+06	58
chr1H	8e+06	9e+06	113
chr1H	9e+06	1e+07	71
chr1H	1e+07	1.1e+07	32
chr1H	1.1e+07	1.2e+07	83
chr1H	1.2e+07	1.3e+07	81
chr1H	1.3e+07	1.4e+07	99
chr1H	1.4e+07	1.5e+07	39
chr1H	1.5e+07	1.6e+07	43
chr1H	1.6e+07	1.7e+07	31
chr1H	1.7e+07	1.8e+07	47
chr1H	1.8e+07	1.9e+07	57
chr1H	1.9e+07	2e+07	30
chr1H	2e+07	2.1e+07	61
chr1H	2.1e+07	2.2e+07	63
chr1H	2.2e+07	2.3e+07	55
chr1H	2.3e+07	2.4e+07	58
chr1H	2.4e+07	2.5e+07	29
chr1H	2.5e+07	2.6e+07	54
chr1H	2.6e+07	2.7e+07	53
chr1H	2.7e+07	2.8e+07	35
chr1H	2.8e+07	2.9e+07	41
chr1H	2.9e+07	3e+07	34
chr1H	3e+07	3.1e+07	45
chr1H	3.1e+07	3.2e+07	40
chr1H	3.2e+07	3.3e+07	45
chr1H	3.3e+07	3.4e+07	28
chr1H	3.4e+07	3.5e+07	14
chr1H	3.5e+07	3.6e+07	43
chr1H	3.6e+07	3.7e+07	43
chr1H	3.7e+07	3.8e+07	39
chr1H	3.8e+07	3.9e+07	38
chr1H	3.9e+07	4e+07	40
chr1H	4e+07	4.1e+07	40
chr1H	4.1e+07	4.2e+07	42
chr1H	4.2e+07	4.3e+07	20
chr1H	4.3e+07	4.4e+07	27
chr1H	4.4e+07	4.5e+07	31
chr1H	4.5e+07	4.6e+07	25
chr1H	4.6e+07	4.7e+07	22
chr1H	4.7e+07	4.8e+07	15
chr1H	4.8e+07	4.9e+07	43
chr1H	4.9e+07	5e+07	21
chr1H	5e+07	5.1e+07	25
chr1H	5.1e+07	5.2e+07	28
chr1H	5.2e+07	5.3e+07	20
chr1H	5.3e+07	5.4e+07	25
