dSNP_Count Transcript
10 HORVU3Hr1G069880.2
10 HORVU7Hr1G114020.3
9 HORVU2Hr1G086240.1
9 HORVU4Hr1G027750.1
9 HORVU5Hr1G000950.4
9 HORVU7Hr1G003590.2
8 HORVU1Hr1G079510.10
8 HORVU4Hr1G080360.2
8 HORVU5Hr1G007350.1
8 HORVU5Hr1G009780.7
8 HORVU6Hr1G029240.4
8 HORVU6Hr1G087920.7
7 HORVU2Hr1G014710.1
7 HORVU2Hr1G071980.2
7 HORVU2Hr1G087160.1
7 HORVU3Hr1G009940.1
7 HORVU3Hr1G070260.1
7 HORVU4Hr1G002170.5
7 HORVU4Hr1G011160.1
7 HORVU5Hr1G095130.5
7 HORVU5Hr1G106960.3
7 HORVU5Hr1G122510.1
7 HORVU6Hr1G001660.2
7 HORVU6Hr1G028920.24
7 HORVU6Hr1G031670.25
6 HORVU0Hr1G010040.2
6 HORVU1Hr1G058790.30
6 HORVU1Hr1G069680.1
6 HORVU2Hr1G037470.1
6 HORVU2Hr1G091920.1
6 HORVU2Hr1G101040.25
6 HORVU3Hr1G060860.1
6 HORVU3Hr1G067300.1
6 HORVU3Hr1G074680.1
6 HORVU3Hr1G091400.2
6 HORVU4Hr1G063140.1
6 HORVU4Hr1G082210.1
6 HORVU5Hr1G049220.7
6 HORVU5Hr1G091910.1
6 HORVU5Hr1G108810.2
6 HORVU5Hr1G114960.1
6 HORVU6Hr1G044380.2
6 HORVU6Hr1G058720.1
6 HORVU6Hr1G071210.5
6 HORVU6Hr1G071270.5
6 HORVU6Hr1G075860.1
6 HORVU6Hr1G083120.2
6 HORVU7Hr1G006940.9
6 HORVU7Hr1G083070.5
5 HORVU0Hr1G011510.1
5 HORVU0Hr1G031890.1
5 HORVU0Hr1G038830.19
5 HORVU1Hr1G039690.1
5 HORVU1Hr1G044500.17
5 HORVU1Hr1G080090.9
5 HORVU1Hr1G093810.9
5 HORVU2Hr1G032710.3
5 HORVU2Hr1G069950.6
5 HORVU2Hr1G092190.1
5 HORVU2Hr1G102140.2
5 HORVU2Hr1G125950.3
5 HORVU3Hr1G087530.1
5 HORVU4Hr1G004160.6
5 HORVU4Hr1G051680.1
5 HORVU4Hr1G083900.1
5 HORVU5Hr1G041490.1
5 HORVU5Hr1G070360.1
5 HORVU5Hr1G077170.1
5 HORVU5Hr1G086880.2
5 HORVU5Hr1G105430.16
5 HORVU5Hr1G121730.1
5 HORVU6Hr1G015480.1
5 HORVU6Hr1G029150.5
5 HORVU6Hr1G038800.6
5 HORVU6Hr1G059880.1
5 HORVU6Hr1G061880.1
5 HORVU6Hr1G071520.1
