chr	starting	ending	codon_nb	del_SNP_nb	delSNP_codonNb
chr1H	0	10000000	114946	43	0.000374088702521184
chr1H	10000000	20000000	53623	26	0.000484866568450105
chr1H	20000000	30000000	51767	12	0.000231807908513145
chr1H	30000000	40000000	36166	8	0.000221202234142565
chr1H	40000000	50000000	19921	5	0.00025099141609357
chr1H	50000000	60000000	23806	4	0.000168024867680417
chr1H	60000000	70000000	15083	10	0.000662998077305576
chr1H	70000000	80000000	24815	5	0.000201491033649003
chr1H	80000000	90000000	29988	13	0.000433506736027744
chr1H	90000000	100000000	15956	7	0.000438706442717473
chr1H	100000000	110000000	19402	6	0.000309246469436141
chr1H	110000000	120000000	10930	3	0.000274473924977127
chr1H	120000000	130000000	12228	2	0.000163559044815178
chr1H	130000000	140000000	11996	6	0.000500166722240747
chr1H	140000000	150000000	9141	1	0.000109397221310579
chr1H	150000000	160000000	7576	0	0
chr1H	160000000	170000000	9156	0	0
chr1H	170000000	180000000	6739	0	0
chr1H	180000000	190000000	8627	1	0.000115915150110119
chr1H	190000000	200000000	7619	2	0.000262501640635254
chr1H	200000000	210000000	4063	1	0.00024612355402412
chr1H	210000000	220000000	4678	0	0
chr1H	220000000	230000000	4761	1	0.000210039907582441
chr1H	230000000	240000000	6348	4	0.000630119722747322
chr1H	240000000	250000000	9803	3	0.00030602876670407
chr1H	250000000	260000000	11014	7	0.000635554748501907
chr1H	260000000	270000000	17046	3	0.000175994368180218
chr1H	270000000	280000000	15788	5	0.000316696224980998
chr1H	280000000	290000000	18408	5	0.000271621034332899
chr1H	290000000	300000000	11081	1	9.02445627650934e-05
chr1H	300000000	310000000	14666	5	0.000340924587481249
chr1H	310000000	320000000	17032	2	0.000117426021606388
chr1H	320000000	330000000	24002	13	0.000541621531539038
chr1H	330000000	340000000	8955	1	0.000111669458403127
chr1H	340000000	350000000	15020	3	0.000199733688415446
chr1H	350000000	360000000	18219	6	0.00032932652725177
chr1H	360000000	370000000	26207	8	0.000305261952913344
chr1H	370000000	380000000	24431	4	0.000163726413163604
chr1H	380000000	390000000	28531	1	3.50495951771757e-05
chr1H	390000000	400000000	26723	5	0.000187104741234143
chr1H	400000000	410000000	30734	9	0.000292835296414394
chr1H	410000000	420000000	30471	1	3.28180893308392e-05
chr1H	420000000	430000000	26582	12	0.000451433300729817
chr1H	430000000	440000000	31267	7	0.000223878210253622
chr1H	440000000	450000000	32164	15	0.000466359905484393
chr1H	450000000	460000000	37581	3	7.9827572443522e-05
chr1H	460000000	470000000	33274	8	0.000240427961771954
chr1H	470000000	480000000	34569	3	8.67829558274755e-05
chr1H	480000000	490000000	47870	7	0.000146229371213704
chr1H	490000000	500000000	47410	12	0.000253111157983548
chr1H	500000000	510000000	37900	5	0.000131926121372032
chr1H	510000000	520000000	65386.1481029645	20	0.000305875182745216
chr1H	520000000	530000000	80336.8518970355	34	0.000423217977766622
chr1H	530000000	540000000	91692	25	0.000272651921650744
chr1H	540000000	550000000	75261	32	0.000425187015851503
chr1H	550000000	558535432	72405	40	0.000552448035356674
chr2H	0	10000000	100911	49	0.000485576399005064
chr2H	10000000	20000000	95815	25	0.000260919480248395
chr2H	20000000	30000000	71934	3	4.17048961548086e-05
chr2H	30000000	40000000	56266	20	0.000355454448512423
chr2H	40000000	50000000	32047	6	0.000187225013261772
chr2H	50000000	60000000	32825	13	0.000396039603960396
chr2H	60000000	70000000	40337	17	0.000421449289733991
chr2H	70000000	80000000	36337	20	0.000550403170322261
chr2H	80000000	90000000	29789	6	0.000201416630299775
chr2H	90000000	100000000	25377	24	0.000945738266934626
chr2H	100000000	110000000	17164	4	0.000233045910044279
chr2H	110000000	120000000	23600	13	0.000550847457627119
