LineID,MatID,PatID
MS12_2103-001,MS11S2007-012,MS11S2080-010
MS12_2103-002,MS11S2007-012,MS11S2080-010
MS12_2103-003,MS11S2007-012,MS11S2080-010
MS12_2103-004,MS11S2007-012,MS11S2080-010
MS12_2103-005,MS11S2007-012,MS11S2080-010
MS12_2103-006,MS11S2007-012,MS11S2080-010
MS12_2103-007,MS11S2007-012,MS11S2080-010
MS12_2103-008,MS11S2007-012,MS11S2080-010
MS12_2103-009,MS11S2007-012,MS11S2080-010
MS12_2103-010,MS11S2007-012,MS11S2080-010
MS12_2103-011,MS11S2007-012,MS11S2080-010
MS12_2103-012,MS11S2007-012,MS11S2080-010
MS12_2103-013,MS11S2007-012,MS11S2080-010
MS12_2103-014,MS11S2007-012,MS11S2080-010
MS12_2103-015,MS11S2007-012,MS11S2080-010
MS12_2103-016,MS11S2007-012,MS11S2080-010
MS12_2103-017,MS11S2007-012,MS11S2080-010
MS12_2103-018,MS11S2007-012,MS11S2080-010
MS12_2103-019,MS11S2007-012,MS11S2080-010
MS12_2103-020,MS11S2007-012,MS11S2080-010
MS12_2103-021,MS11S2007-012,MS11S2080-010
MS12_2103-022,MS11S2007-012,MS11S2080-010
MS12_2103-023,MS11S2007-012,MS11S2080-010
MS12_2103-024,MS11S2007-012,MS11S2080-010
MS12_2104-001,MS11S2007-012,MS11S2021-024
MS12_2104-002,MS11S2007-012,MS11S2021-024
MS12_2104-003,MS11S2007-012,MS11S2021-024
MS12_2104-004,MS11S2007-012,MS11S2021-024
MS12_2104-005,MS11S2007-012,MS11S2021-024
MS12_2104-006,MS11S2007-012,MS11S2021-024
MS12_2104-007,MS11S2007-012,MS11S2021-024
MS12_2104-008,MS11S2007-012,MS11S2021-024
MS12_2104-009,MS11S2007-012,MS11S2021-024
MS12_2104-010,MS11S2007-012,MS11S2021-024
MS12_2104-011,MS11S2007-012,MS11S2021-024
MS12_2104-012,MS11S2007-012,MS11S2021-024
MS12_2104-013,MS11S2007-012,MS11S2021-024
MS12_2104-014,MS11S2007-012,MS11S2021-024
MS12_2104-015,MS11S2007-012,MS11S2021-024
MS12_2104-016,MS11S2007-012,MS11S2021-024
MS12_2104-017,MS11S2007-012,MS11S2021-024
MS12_2104-018,MS11S2007-012,MS11S2021-024
MS12_2104-019,MS11S2007-012,MS11S2021-024
MS12_2104-020,MS11S2007-012,MS11S2021-024
MS12_2104-021,MS11S2007-012,MS11S2021-024
MS12_2104-022,MS11S2007-012,MS11S2021-024
MS12_2104-023,MS11S2007-012,MS11S2021-024
MS12_2104-024,MS11S2007-012,MS11S2021-024
MS12_2105-001,MS11S2007-023,MS11S2064-004
MS12_2105-002,MS11S2007-023,MS11S2064-004
MS12_2105-003,MS11S2007-023,MS11S2064-004
MS12_2105-004,MS11S2007-023,MS11S2064-004
MS12_2105-005,MS11S2007-023,MS11S2064-004
MS12_2105-006,MS11S2007-023,MS11S2064-004
MS12_2105-007,MS11S2007-023,MS11S2064-004
MS12_2105-008,MS11S2007-023,MS11S2064-004
MS12_2105-009,MS11S2007-023,MS11S2064-004
MS12_2105-010,MS11S2007-023,MS11S2064-004
MS12_2105-011,MS11S2007-023,MS11S2064-004
MS12_2105-012,MS11S2007-023,MS11S2064-004
MS12_2105-013,MS11S2007-023,MS11S2064-004
MS12_2105-014,MS11S2007-023,MS11S2064-004
MS12_2105-015,MS11S2007-023,MS11S2064-004
MS12_2105-016,MS11S2007-023,MS11S2064-004
MS12_2105-017,MS11S2007-023,MS11S2064-004
MS12_2105-018,MS11S2007-023,MS11S2064-004
MS12_2105-019,MS11S2007-023,MS11S2064-004
MS12_2105-020,MS11S2007-023,MS11S2064-004
MS12_2105-021,MS11S2007-023,MS11S2064-004
MS12_2105-022,MS11S2007-023,MS11S2064-004
MS12_2105-023,MS11S2007-023,MS11S2064-004
MS12_2105-024,MS11S2007-023,MS11S2064-004
MS12_2107-001,MS11S2016-001,MS11S2064-005
MS12_2107-002,MS11S2016-001,MS11S2064-005
MS12_2107-003,MS11S2016-001,MS11S2064-005
MS12_2107-004,MS11S2016-001,MS11S2064-005
MS12_2107-005,MS11S2016-001,MS11S2064-005
MS12_2107-006,MS11S2016-001,MS11S2064-005
MS12_2107-007,MS11S2016-001,MS11S2064-005
MS12_2107-008,MS11S2016-001,MS11S2064-005
MS12_2107-009,MS11S2016-001,MS11S2064-005
MS12_2107-010,MS11S2016-001,MS11S2064-005
MS12_2107-011,MS11S2016-001,MS11S2064-005
MS12_2107-012,MS11S2016-001,MS11S2064-005
MS12_2107-013,MS11S2016-001,MS11S2064-005
MS12_2107-014,MS11S2016-001,MS11S2064-005
MS12_2107-015,MS11S2016-001,MS11S2064-005
MS12_2107-016,MS11S2016-001,MS11S2064-005
MS12_2107-017,MS11S2016-001,MS11S2064-005
MS12_2107-018,MS11S2016-001,MS11S2064-005
MS12_2107-019,MS11S2016-001,MS11S2064-005
MS12_2107-020,MS11S2016-001,MS11S2064-005
MS12_2107-021,MS11S2016-001,MS11S2064-005
MS12_2107-022,MS11S2016-001,MS11S2064-005
MS12_2107-023,MS11S2016-001,MS11S2064-005
MS12_2107-024,MS11S2016-001,MS11S2064-005
MS12_2108-001,MS11S2016-014,MS11S2024-019
MS12_2108-002,MS11S2016-014,MS11S2024-019
MS12_2108-003,MS11S2016-014,MS11S2024-019
MS12_2108-004,MS11S2016-014,MS11S2024-019
MS12_2108-005,MS11S2016-014,MS11S2024-019
MS12_2108-006,MS11S2016-014,MS11S2024-019
MS12_2108-007,MS11S2016-014,MS11S2024-019
MS12_2108-008,MS11S2016-014,MS11S2024-019
MS12_2108-009,MS11S2016-014,MS11S2024-019
MS12_2108-010,MS11S2016-014,MS11S2024-019
MS12_2108-011,MS11S2016-014,MS11S2024-019
MS12_2108-012,MS11S2016-014,MS11S2024-019
MS12_2108-013,MS11S2016-014,MS11S2024-019
MS12_2108-014,MS11S2016-014,MS11S2024-019
MS12_2108-015,MS11S2016-014,MS11S2024-019
MS12_2108-016,MS11S2016-014,MS11S2024-019
MS12_2108-017,MS11S2016-014,MS11S2024-019
MS12_2108-018,MS11S2016-014,MS11S2024-019
MS12_2108-019,MS11S2016-014,MS11S2024-019
MS12_2108-020,MS11S2016-014,MS11S2024-019
MS12_2108-021,MS11S2016-014,MS11S2024-019
MS12_2108-022,MS11S2016-014,MS11S2024-019
MS12_2108-023,MS11S2016-014,MS11S2024-019
MS12_2108-024,MS11S2016-014,MS11S2024-019
MS12_2111-001,MS11S2016-021,MS11S2075-014
MS12_2111-002,MS11S2016-021,MS11S2075-014
MS12_2111-003,MS11S2016-021,MS11S2075-014
MS12_2111-004,MS11S2016-021,MS11S2075-014
MS12_2111-005,MS11S2016-021,MS11S2075-014
MS12_2111-006,MS11S2016-021,MS11S2075-014
MS12_2111-007,MS11S2016-021,MS11S2075-014
MS12_2111-008,MS11S2016-021,MS11S2075-014
MS12_2111-009,MS11S2016-021,MS11S2075-014
MS12_2111-010,MS11S2016-021,MS11S2075-014
MS12_2111-011,MS11S2016-021,MS11S2075-014
MS12_2111-012,MS11S2016-021,MS11S2075-014
MS12_2111-013,MS11S2016-021,MS11S2075-014
MS12_2111-014,MS11S2016-021,MS11S2075-014
MS12_2111-015,MS11S2016-021,MS11S2075-014
MS12_2111-016,MS11S2016-021,MS11S2075-014
MS12_2111-017,MS11S2016-021,MS11S2075-014
MS12_2111-018,MS11S2016-021,MS11S2075-014
MS12_2111-019,MS11S2016-021,MS11S2075-014
MS12_2111-021,MS11S2016-021,MS11S2075-014
MS12_2111-022,MS11S2016-021,MS11S2075-014
MS12_2111-023,MS11S2016-021,MS11S2075-014
MS12_2111-024,MS11S2016-021,MS11S2075-014
MS12_2112-001,MS11S2016-021,MS11S2080-015
MS12_2112-002,MS11S2016-021,MS11S2080-015
MS12_2112-003,MS11S2016-021,MS11S2080-015
MS12_2112-004,MS11S2016-021,MS11S2080-015
MS12_2112-005,MS11S2016-021,MS11S2080-015
MS12_2112-006,MS11S2016-021,MS11S2080-015
MS12_2112-007,MS11S2016-021,MS11S2080-015
MS12_2112-008,MS11S2016-021,MS11S2080-015
MS12_2112-009,MS11S2016-021,MS11S2080-015
MS12_2112-010,MS11S2016-021,MS11S2080-015
MS12_2112-011,MS11S2016-021,MS11S2080-015
MS12_2112-012,MS11S2016-021,MS11S2080-015
MS12_2112-013,MS11S2016-021,MS11S2080-015
MS12_2112-014,MS11S2016-021,MS11S2080-015
MS12_2112-015,MS11S2016-021,MS11S2080-015
MS12_2112-016,MS11S2016-021,MS11S2080-015
MS12_2112-017,MS11S2016-021,MS11S2080-015
MS12_2112-018,MS11S2016-021,MS11S2080-015
MS12_2112-019,MS11S2016-021,MS11S2080-015
