Phe,11_21174,11_20712,11_10186,12_11498,12_30043,11_11484,11_10279,11_21038,11_10586,12_30277,11_20594,11_20840,11_21377,12_30155,11_21265,11_20864,11_20690,11_20528,12_10650,12_30900,11_10214,12_31095,11_20895,12_30055,12_31458,11_20422,11_20777,11_20012,11_10639,11_20358,11_20384,11_20119,11_20454,12_30979,11_21202,11_21426,11_20845,11_20903,11_20239,11_11355,11_21480,11_11350,12_30400,12_30577,12_31292,12_30382,12_10857,12_10554,11_10676,12_30361,11_10539,11_20656,11_11349,11_20889,11_11147,11_21112,12_30956,11_10078,11_10454,11_21223,11_10896,11_20170
,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,4H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H
,8.96,20.33,22.04,34.45,42.42,44.17,77.57,122.34,123.10,138.86,139.60,140.69,9.12,10.86,27.50,32.35,78.54,84.35,84.96,99.39,105.62,133.04,149.27,178.99,12.34,28,29.76,43.72,76.09,96.42,99.36,109.65,111.13,4.15,7.84,21.68,33.55,38.78,47.47,77.75,78.19,93.66,143.94,177.90,184.99,188.04,188.70,23.62,32.05,43.38,50.33,58.48,80.06,86.54,95.70,139.75,142.20,137.31,139.90,144.96,150.44,162.45
NA,H,B,H,B,H,H,B,H,H,B,B,B,A,A,H,A,C,A,C,H,H,A,A,B,H,H,H,A,A,H,H,A,H,A,A,H,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
NA,A,A,A,A,A,A,A,H,H,H,H,H,A,H,H,A,C,A,C,B,H,H,A,A,A,A,A,A,H,A,A,A,A,H,C,A,A,A,A,H,H,H,H,B,B,B,B,B,H,H,B,B,H,-,H,H,H,H,H,H,H,B
NA,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,C,B,B,B,B,A,H,H,H,A,H,B,H,A,H,A,C,H,H,H,H,A,H,H,A,H,H,H,H,B,B,B,B,B,B,B,B,H,A,B,B,B,B,B
NA,B,H,B,H,B,B,H,B,B,B,B,B,A,A,A,H,C,A,C,A,A,A,A,A,H,H,H,H,H,H,H,A,H,H,A,B,B,B,B,H,H,H,H,A,A,A,A,-,H,H,H,H,H,-,H,B,B,H,H,H,H,H
NA,A,H,A,H,A,A,H,H,H,A,A,A,B,A,H,B,A,B,C,H,H,A,B,A,B,B,B,B,B,B,B,-,B,H,C,H,H,H,H,H,H,H,H,B,B,B,B,-,H,H,H,H,H,-,H,H,H,H,H,H,H,-
NA,B,A,H,A,B,B,A,A,H,B,B,B,A,H,H,H,A,H,C,H,H,H,H,A,A,A,A,H,H,A,A,A,A,B,C,B,B,B,B,B,B,B,B,H,H,H,H,-,B,B,B,B,B,B,B,H,H,H,H,H,H,-
NA,B,A,B,A,B,B,H,H,H,B,B,B,-,H,H,A,C,A,C,H,H,H,A,B,B,B,B,B,B,B,B,-,B,H,C,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,A,A,H,-,H,H,H,H,H,H,H,H
NA,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,A,H,C,H,H,A,H,A,A,H,H,B,B,A,A,A,A,H,C,H,H,H,H,H,B,B,H,H,H,H,H,A,H,H,A,A,B,B,B,H,A,A,A,A,A,A
NA,H,H,H,H,H,H,H,H,H,A,A,A,-,B,B,A,A,A,C,B,B,B,H,A,H,H,H,B,B,H,H,A,H,H,A,H,H,H,H,H,B,B,H,A,H,H,H,-,B,B,B,B,B,B,B,H,H,H,H,H,H,B
NA,A,B,A,B,A,A,B,H,H,A,A,A,A,H,H,A,A,A,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,A,H,H,H,H,H,H,H,H,A,A,A,A,-,B,H,H,H,B,B,B,H,H,B,B,B,B,B
NA,H,H,H,H,H,H,H,H,H,B,B,B,A,H,H,A,A,A,C,H,H,H,A,A,B,B,B,B,H,B,B,B,B,H,C,A,A,A,A,H,B,B,H,H,A,A,A,-,H,H,H,H,H,-,H,H,H,H,H,H,H,-
NA,B,H,H,H,B,B,H,H,H,B,B,B,A,A,H,H,A,B,C,H,H,A,B,B,A,H,H,A,H,A,A,A,A,A,C,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,-
NA,A,H,A,H,A,A,H,H,H,A,A,A,A,H,H,A,A,A,C,H,H,H,A,A,B,B,B,H,H,B,B,-,B,H,C,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,H,H,H,-,H,H,H,A,A,A,A,A
NA,B,H,A,H,B,A,H,H,H,B,B,B,B,H,H,B,A,B,C,H,H,H,B,A,H,H,H,A,A,H,H,A,H,A,A,B,H,H,A,A,A,A,A,A,A,A,A,-,B,H,B,B,B,B,B,A,A,H,H,H,H,B
NA,H,B,B,B,H,B,B,B,B,H,H,H,B,B,H,B,A,B,C,H,H,B,B,B,A,H,H,A,A,A,A,A,A,B,C,B,B,B,B,B,H,H,B,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,-
NA,A,H,A,H,A,A,H,H,H,A,A,A,A,A,A,H,A,A,-,A,A,A,A,A,B,H,H,B,B,B,H,B,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,B,H,B,B,B,B,H,B,B,A,A,A,A,A
NA,B,H,H,H,B,H,H,H,H,B,B,B,-,H,H,H,C,H,-,H,H,H,H,A,H,H,H,H,H,H,H,A,H,B,C,H,H,B,B,B,H,H,B,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H
NA,A,H,A,H,A,A,H,H,H,H,H,H,A,A,A,A,A,A,C,A,A,A,A,A,H,H,H,B,B,H,H,A,H,B,A,H,B,B,B,B,H,H,B,A,A,A,A,B,H,A,B,B,H,-,H,H,B,H,H,H,H,A
NA,B,B,B,B,B,B,B,H,H,H,H,H,-,A,A,H,A,H,C,A,A,A,H,A,A,H,H,B,B,A,A,A,A,H,C,B,H,H,H,H,A,A,H,H,H,H,H,-,H,H,H,H,H,-,H,H,H,B,B,B,B,B
NA,A,H,H,H,A,A,H,B,B,A,A,A,A,A,A,A,C,A,C,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,C,H,H,H,H,A,H,H,A,H,H,H,H,-,H,B,H,H,H,-,H,H,H,A,A,A,A,A
NA,H,H,H,H,H,H,B,H,H,H,H,H,H,A,H,H,C,H,C,H,H,A,H,A,H,H,H,A,A,H,H,A,H,H,C,H,H,H,H,H,H,H,A,B,B,B,B,-,H,B,H,H,H,-,H,H,H,A,A,A,A,A
NA,H,A,A,A,H,A,A,A,A,H,H,H,B,B,B,B,A,B,C,B,B,B,B,B,H,H,H,H,A,H,H,A,H,A,C,A,A,A,A,A,A,A,A,B,B,B,B,A,B,H,H,H,B,B,B,B,B,H,H,H,H,H
