Phe,12_10636,12_30948,11_10030,11_10760,11_10075,11_20810,11_21217,11_20642,12_30742,11_10279,11_20657,11_10586,12_30277,12_31224,12_30155,11_10307,11_21338,12_30604,12_10485,11_20690,12_10650,11_20734,12_20489,11_10900,11_20182,12_31095,11_21220,11_10780,11_10109,11_20590,11_10551,12_10447,11_21250,11_11380,12_10181,11_20293,11_20159,11_20252,12_10571,11_20742,12_11154,11_21272,12_30921,12_30767,12_31458,12_30540,11_21397,12_30605,12_30755,11_11513,11_10467,11_10309,11_10523,11_20358,11_10588,11_20384,12_30117,11_20119,11_20454,11_21426,11_20845,11_20449,11_20134,12_30067,12_30400,11_11216,11_10869,12_30494,12_31292,11_10401,12_30382,11_21521,11_10669,11_20415,12_10554,11_10676,12_30361,11_10129,11_21281,11_10003,12_30144,11_11067,11_10270,11_20714,11_11349,11_20889,12_30940,11_11147,12_31235,11_21112,12_31350,12_30528,11_10534,11_20349,12_30199,11_10303,11_10143,11_21201,11_10078,12_31282,11_10454,11_21280,11_21223,12_30826,11_20170
,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H
,5.41,15.91,17.40,28.20,45.20,46.50,48.29,62.60,74.81,77.57,82.09,123.10,138.86,4.59,10.86,30.42,45.48,55.46,63.55,78.54,84.96,86.58,90.48,114.34,127.74,133.04,136.33,137.03,143.71,154.65,156.77,158.18,159.62,160.46,160.46,161.30,6.31,8.91,18.21,20.52,147.57,157.77,163.49,167.33,12.34,14.88,35.24,56.22,77.66,80.73,82.81,85.07,88.30,96.42,97.52,99.36,108.34,109.65,111.13,21.68,33.55,90.07,95.11,123.78,143.94,162.98,165.28,171.58,184.99,187.20,188.04,2.24,2.84,15.81,23.62,32.05,43.38,44.96,47.10,56.06,61.19,62.71,64.65,75.28,80.06,86.54,88.88,95.70,103.32,139.75,3.49,42.26,82.41,86.84,88.06,89.78,91.12,98.95,137.31,138.83,139.90,141.15,144.96,162.03,162.45
NA,H,B,B,B,B,H,B,A,A,H,H,B,A,H,H,H,C,A,H,A,A,H,B,H,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,C,A,H,B,B,B,B,B,H,B,C,H,H,-,B,B,H,A,B,H,H,C,H,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,H,H,H,H,C,H,A
NA,H,H,C,H,H,H,C,H,H,H,A,H,H,A,H,A,C,H,H,A,C,A,H,A,H,H,A,A,A,B,C,B,B,B,B,B,A,A,A,A,H,A,A,H,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,H,H,A,H,H,H,C,H,H,B,H,B,H,-,H,H,-,B,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A
NA,H,H,C,B,B,H,B,B,B,H,H,H,H,A,B,A,C,A,B,B,C,A,B,A,B,B,A,A,H,A,A,A,A,A,A,A,A,A,A,A,H,A,A,A,A,H,A,H,H,H,H,H,H,A,A,A,A,C,A,H,B,B,B,B,H,B,B,B,H,H,-,H,H,H,A,H,A,H,C,H,H,H,H,H,H,A,H,H,A,A,H,H,A,A,A,A,A,A,H,H,H,H,C,H,H
NA,H,H,C,H,H,H,B,B,B,H,H,H,B,H,B,H,A,H,B,B,C,B,B,B,B,B,H,H,H,H,C,H,H,H,B,H,H,H,H,H,H,-,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,B,H,A,B,B,B,B,H,H,B,B,B,B,B,H,H,B,-,H,B,B,B,B,H,H,A,H,H,A,H,H,-,A,H,H,B,B,B,B,B,B,H,H,H,H,C,H,-
NA,B,H,B,H,H,B,B,H,H,H,H,H,A,B,H,B,A,B,H,A,A,B,H,B,H,H,B,B,B,B,C,H,H,H,-,H,H,H,H,H,H,-,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,B,H,B,B,H,H,H,A,A,B,C,H,H,B,A,A,A,A,A,H,A,C,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,C,A,A
NA,B,B,B,H,H,B,B,B,B,B,B,H,H,H,H,H,A,H,H,A,A,B,H,B,B,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,-,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,H,B,C,H,H,H,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,H,A,A,H,H,H,H,H,H,A,A,A,A,C,A,A
NA,H,B,C,B,B,H,B,A,A,A,H,B,H,H,H,H,C,H,H,A,A,H,H,H,H,H,H,H,H,H,C,H,H,H,B,H,H,H,H,H,H,-,H,A,H,B,H,B,B,B,B,H,B,H,H,B,B,B,B,H,B,H,H,H,H,B,B,B,B,B,B,H,H,A,A,H,A,A,C,H,H,H,A,H,H,A,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,C,H,H
NA,H,B,B,H,H,H,B,B,B,B,H,B,B,H,A,H,C,H,A,A,C,A,A,A,A,A,H,H,H,B,C,B,B,B,B,B,H,H,H,H,H,-,H,H,A,A,A,B,A,A,A,A,A,A,A,A,A,C,A,B,B,H,H,H,H,H,A,C,A,A,A,H,H,H,A,H,H,H,C,H,H,H,H,H,H,A,H,H,-,H,H,H,H,H,H,H,H,H,B,H,H,H,C,H,H
