Phe,11_10460,11_21174,12_30951,11_10030,11_10186,11_21048,11_10526,12_10506,11_20810,11_21217,11_20642,12_30742,11_20220,11_20021,12_10905,11_21038,11_10586,12_30155,11_21338,12_11272,12_10650,12_30900,11_21220,11_10780,11_10065,12_10181,11_20252,11_20595,12_30571,11_11391,12_30788,12_30055,12_31458,12_30540,11_21418,11_21397,11_10793,11_11513,11_10309,11_20358,11_10588,11_20119,11_20894,11_20533,11_10974,11_11048,11_20845,11_20903,11_20239,12_30067,12_30759,12_31375,11_20646,12_30566,11_11216,11_10869,11_10600,12_30494,12_10857,11_20415,12_10554,11_10136,11_10427,12_30361,11_10129,11_20936,11_21281,11_10003,11_10239,12_31126,12_30956,12_31450,11_21448,11_20092,11_21223
,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H
,3.21,8.96,11.35,17.40,22.04,24.03,40.40,42.42,46.50,48.29,62.60,74.81,111.15,111.81,116.16,122.34,123.10,10.86,45.48,60.89,84.96,99.39,136.33,137.03,147.37,160.46,8.91,14.91,32.92,77.37,78.25,178.99,12.34,14.88,28.75,35.24,50.22,80.73,85.07,96.42,97.52,109.65,1.26,10.08,21.68,24.76,33.55,38.78,47.47,123.78,154.08,157.61,157.61,162.68,162.98,165.28,167.40,171.58,188.70,15.81,23.62,27.33,37.99,43.38,44.96,46.44,47.10,56.06,122.14,131.64,142.20,7.87,98.95,111.15,144.96
NA,A,H,H,H,H,B,A,B,H,H,B,B,H,H,H,H,H,A,A,A,-,A,H,H,H,A,A,B,B,B,H,A,H,A,A,H,A,H,H,H,H,A,B,B,B,B,B,B,B,A,H,H,H,H,H,B,A,H,A,A,A,A,A,A,A,H,A,H,A,H,H,A,A,A,A
NA,A,H,B,B,H,B,B,B,B,B,H,H,B,B,B,B,B,C,A,A,-,A,H,H,H,A,A,B,B,B,B,A,H,A,A,H,A,H,H,H,H,A,B,H,H,H,B,B,B,A,B,B,B,B,B,B,A,H,A,A,A,H,H,H,A,A,A,A,A,H,A,A,A,A,A
NA,A,H,H,H,A,H,A,H,H,H,B,B,H,H,H,H,H,C,A,A,C,A,H,H,H,A,A,H,H,H,H,A,H,A,A,H,A,H,H,H,H,A,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,A,-,A,A,A,A,A,A,A,A,H,B,A,A,A,A
NA,A,H,A,A,H,H,A,H,H,A,H,H,H,H,H,A,A,C,A,A,C,A,A,A,A,A,A,B,B,B,B,A,B,A,H,B,A,B,B,B,B,-,B,H,H,H,H,H,H,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,H,H,A,H,A,H,H,A,A,A,A
NA,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,A,A,C,A,B,B,B,A,A,B,B,B,B,A,H,A,H,H,A,H,H,H,H,A,A,H,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,H,-,H,H,H,H,H,A,H,A,H,B,A,A,A,A
NA,A,H,A,A,A,H,A,H,H,H,H,H,H,H,H,A,A,C,A,A,C,A,H,H,H,A,A,B,H,H,H,A,B,A,B,B,A,B,B,B,B,-,H,H,H,H,H,H,H,A,H,H,H,H,H,B,A,H,A,H,-,H,H,H,H,H,A,H,A,A,A,A,A,A,A
NA,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,-,H,A,B,H,A,H,H,H,H,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,A,H,A,H,H,H,H,H,A,H,A,H,H,A,A,A,A
NA,A,H,H,H,B,B,-,B,H,H,H,H,H,H,H,H,H,A,A,A,C,A,H,H,H,A,A,A,H,A,A,A,B,A,H,B,A,H,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,H,-,A,H,A,H,A,H,H,H,H,H,A,H,A,H,A,A,A,A,A
