Phe,12_30951,11_10760,11_10075,11_10326,11_11040,11_21265,12_10485,11_20734,12_30900,11_10214,11_10398,11_10780,11_10109,12_30396,12_10447,11_21250,11_11380,12_10181,11_20293,12_10571,11_20968,11_11391,11_20944,12_10122,12_11154,11_21418,12_30605,11_11114,12_31536,11_11004,11_10588,12_30117,11_20119,12_30976,11_20206,12_31094,12_10079,11_11355,12_30929,12_30635,12_30400,12_31375,11_10427,12_30361,11_10040,11_20972,11_11111,11_21112,12_31285,11_20755,11_10025,12_30530,11_20192,12_30880,12_11477,11_21201,11_10169,11_20092,12_10241,12_30164,12_30368,11_11243,12_31282,11_10454,11_21280,11_21223
,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H
,11.35,28.20,45.20,4.72,16.14,27.50,63.55,86.58,99.39,105.62,113.53,137.03,143.71,151.92,158.18,159.62,160.46,160.46,161.30,18.21,29.75,77.37,131.24,143.33,147.57,28.75,56.22,59.80,79.47,86.66,97.52,108.34,109.65,1.91,7.26,11.45,50.53,77.75,132.32,135.62,143.94,157.61,37.99,43.38,74.65,106.82,139.09,139.75,9.73,10.57,14.39,20.29,29.70,54.99,81.78,98.95,106.80,111.15,112.99,118.44,118.52,121.36,138.83,139.90,141.15,144.96
NA,H,H,H,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,H,B,H,H,A,A,H,H,B,B,B,B,B,A,H,H,H,B,B,H,H,B,B,A,A,A,A,H,H,A,A,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
NA,H,H,H,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,B,H,H,B,B,B,B,A,B,B,B,A,A,B,B,A,H,H,A,A,A,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H
NA,H,H,H,B,H,A,A,B,-,A,A,B,B,B,B,B,B,B,B,H,B,B,H,H,H,H,H,B,B,B,H,H,A,H,A,H,H,H,H,H,H,H,H,H,A,A,H,H,A,H,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A
NA,H,H,H,H,B,B,B,H,B,B,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,H,H,H,H,H,B,B,B,B,B,H,B,B,H,B,B,B,H,H,B,B,B,B,H,B,H,B,H,H,H,H,H,H,H,H,A,A,A,A
NA,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,B,H,H,B,B,H,H,H,H,H,B,B,B,B,B,A,B,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H
NA,H,H,H,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,H,H,B,H,H,H,B,H,A,A,H,H,H,B,B,H,B,H,H,B,B,H,H,A,A,H,H,H,H,H,H,H,H,A,A,H,H,H,-,H,H,H,H,A,A,A,A
NA,H,B,B,H,B,A,H,H,-,A,A,H,H,H,H,H,H,-,H,B,H,A,B,B,B,H,H,A,H,B,B,B,A,A,A,A,B,H,A,A,H,A,A,A,H,H,B,B,A,A,B,A,B,H,B,H,H,H,H,H,H,B,B,B,B,B
NA,H,H,H,A,A,A,A,H,-,A,A,H,H,A,A,A,A,A,A,A,A,A,H,A,A,H,H,H,H,H,H,H,B,H,B,H,B,B,H,H,B,H,B,B,B,B,H,H,H,A,H,A,H,H,H,A,A,A,A,A,A,H,B,B,B,B
