Phe,11_10030,11_21048,12_10506,11_21217,11_20642,12_30742,11_20657,12_30155,11_21338,12_10485,11_20690,12_10650,11_20734,12_20489,11_10900,11_20182,12_10181,11_20159,12_30767,12_30055,11_20119,11_20894,12_30979,11_20845,11_11290,11_10578,11_20449,12_30400,11_10869,11_10600,12_11450,12_30494,12_31352,11_10401,12_10857,11_21521,11_20415,12_31308,12_30361,11_21281,12_30751,12_30144,11_11067,11_20904,11_21112,12_30956,12_31350,11_20755,11_10025,12_30530,12_10218,12_10979,11_21491,12_30528,12_10959,12_30880,12_11477,11_20092,12_30164,12_31282,11_10454,11_21280
,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H,7H
,17.40,24.03,42.42,48.29,62.60,74.81,82.09,10.86,45.48,63.55,78.54,84.96,86.58,90.48,114.34,127.74,160.46,6.31,167.33,178.99,109.65,1.26,4.15,33.55,83.17,83.80,90.07,143.94,165.28,167.40,169.14,171.58,181.21,187.20,188.70,2.24,15.81,33.72,43.38,47.10,52.85,61.19,62.71,72.17,139.75,142.20,3.49,10.57,14.39,20.29,32.13,36.92,41.51,42.26,52.52,54.99,81.78,111.15,118.44,138.83,139.90,141.15
NA,-,A,A,-,A,A,A,D,B,A,A,-,B,H,B,H,A,H,H,B,A,A,A,C,A,A,A,A,-,H,H,C,H,H,H,A,A,A,A,-,A,A,A,A,H,B,B,B,A,B,B,B,B,B,-,H,A,A,H,B,B,B
NA,-,H,H,C,B,B,H,A,A,A,A,-,A,A,H,A,A,A,H,B,A,H,B,C,H,H,B,H,-,H,H,C,H,H,H,H,H,H,H,C,H,H,H,H,B,B,H,A,B,A,A,A,A,H,C,H,B,B,H,H,H,H
NA,-,A,A,-,A,A,A,D,-,H,B,A,A,A,A,A,A,H,H,B,A,H,H,C,H,H,H,H,-,H,H,C,H,H,H,B,H,H,A,C,H,B,B,B,H,H,H,H,H,H,H,H,H,H,C,H,H,B,B,B,B,B
NA,C,H,H,C,H,H,H,D,-,H,A,-,A,H,A,H,A,H,H,A,B,A,A,C,A,A,A,A,A,A,A,-,A,A,A,B,H,H,H,C,H,B,B,B,H,H,H,A,H,A,A,A,A,H,-,A,H,-,A,A,A,A
NA,C,A,A,C,A,A,H,D,-,H,A,-,A,H,A,H,A,H,H,B,A,B,B,C,H,H,A,B,H,A,A,-,A,A,A,B,B,B,B,B,B,B,B,B,A,A,B,H,A,H,H,H,H,B,C,H,A,H,H,H,H,H
NA,-,A,A,-,H,H,A,-,B,B,B,-,B,B,B,B,A,B,H,B,A,H,H,B,H,H,B,H,B,B,H,C,H,H,H,H,H,H,H,C,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B
NA,C,A,A,C,H,H,H,-,B,B,B,-,B,B,B,B,B,H,H,B,B,H,H,-,H,H,B,H,B,H,H,A,H,H,H,H,B,B,H,B,B,B,H,H,H,H,B,H,B,H,H,H,H,B,B,B,H,H,B,B,B,B
NA,B,H,H,C,H,H,H,-,A,B,B,-,H,A,H,A,A,H,B,B,B,B,B,B,H,H,H,B,A,H,H,C,H,H,H,B,H,B,H,B,B,B,B,B,H,H,A,H,H,H,H,H,H,A,C,H,H,A,A,H,H,H
