Phe,12_10636,12_30951,12_30948,11_10030,11_20712,11_10760,12_30043,11_10075,11_20810,11_21217,11_10279,11_21038,12_31377,11_11038,12_30277,12_31224,11_10326,12_30155,11_21265,11_10307,11_21304,11_10525,12_30604,12_30900,11_10214,11_10398,11_20182,12_31095,11_21220,11_10780,11_10065,12_30396,11_20252,12_10571,11_20944,12_10122,12_11154,11_10208,11_10221,11_21418,12_10860,11_11405,12_30605,12_31536,11_10467,11_20384,11_20119,12_30976,12_30979,11_20206,11_21202,12_31094,11_10974,11_21426,11_11048,11_20845,11_20903,11_20239,12_10079,11_11355,11_21480,11_11290,11_10578,11_20449,11_11350,11_20134,12_30067,12_30929,12_30635,12_30400,11_11490,12_30759,11_20686,11_10869,12_11450,12_30494,12_30577,12_31352,11_21521,11_10669,11_10676,12_31308,11_10427,12_30361,11_20936,11_21281,11_10539,12_30751,11_10270,11_10040,11_20714,11_11349,11_20889,12_30940,11_11147,12_31235,11_20972,12_31126,11_20755,12_30530,12_10218,11_10078,11_10454,11_21223,11_10896,12_30826
,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H
,5.41,11.35,15.91,17.40,20.33,28.20,42.42,45.20,46.50,48.29,77.57,122.34,128.04,132.16,138.86,4.59,4.72,10.86,27.50,30.42,34.24,38.86,55.46,99.39,105.62,113.53,127.74,133.04,136.33,137.03,147.37,151.92,8.91,18.21,131.24,143.33,147.57,2.60,22.93,28.75,37.88,53.28,56.22,79.47,82.81,99.36,109.65,1.91,4.15,7.26,7.84,11.45,21.68,21.68,24.76,33.55,38.78,47.47,50.53,77.75,78.19,83.17,83.80,90.07,93.66,95.11,123.78,132.32,135.62,143.94,150.29,154.08,163.72,165.28,169.14,171.58,177.90,181.21,2.24,2.84,32.05,33.72,37.99,43.38,46.44,47.10,50.33,52.85,64.65,74.65,75.28,80.06,86.54,88.88,95.70,103.32,106.82,131.64,10.57,20.29,32.13,137.31,139.90,144.96,150.44,162.03
NA,H,A,B,H,B,B,H,B,H,H,B,H,H,H,H,B,B,B,H,A,H,H,B,H,H,H,H,H,B,B,B,B,A,A,B,B,H,A,A,H,B,A,H,A,A,A,A,H,A,H,H,H,B,B,A,B,B,B,B,A,H,A,A,H,H,H,H,H,H,B,A,H,H,H,H,H,H,H,A,A,A,A,B,B,B,A,A,A,B,B,A,A,B,A,A,A,B,B,B,A,B,B,A,A,A,B
NA,A,B,A,B,B,H,A,H,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,B,B,B,B,B,A,A,H,A,A,H,H,H,A,A,A,B,A,H,A,A,A,H,H,H,A,A,B,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,A,A,H,H,H,H,H,H,H,H,H,H,A,B,A,B,B,B,B,B,A
NA,H,H,H,H,H,H,B,H,H,H,-,H,B,B,B,H,H,A,A,H,A,A,H,A,A,A,A,A,A,A,A,H,B,B,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,A,H,B,B,B,A,B,B,B,A,B,B,B,B,B,A,H,H,B,B,A,B,B,H,H,H,H,A,A,A,A,A,A,H,H,B,A,A,A,H,H,A,A,B,A,A,A,H,H,A,B,A,A,B,B,B,A
NA,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,H,B,B,H,B,B,B,B,B,H,H,H,H,A,A,B,H,H,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,B,B,B,B,B,A
NA,A,B,A,B,B,A,H,A,A,A,B,A,H,A,A,B,B,H,H,A,H,H,B,B,H,H,H,H,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,H,H,H,-,B,A,H,A,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,H,H,H,H,H
NA,A,H,H,H,H,H,A,H,A,A,-,H,A,A,A,A,A,B,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,H,A,B,A,A,A,B,H,H,H,H,H,B,H,H,H,B,B,B,A,H,H,H,A,B,B,B,B,B,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,B,A,H,H,H,H
NA,A,B,A,B,H,A,B,A,A,A,H,A,B,B,B,B,B,H,A,A,A,H,B,A,A,A,H,H,B,B,B,B,A,A,A,A,A,B,H,B,H,B,B,B,B,H,-,A,B,H,B,A,H,H,H,H,H,H,A,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,H,H,A,A,B,A,A,A,H,B,A,B,A,H,H,H,H,H
NA,B,A,B,A,B,B,H,B,B,B,B,B,H,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,H,A,A,B,B,B,A,B,B,A,A,A,A,H,H,B,H,H,A,A,B,A,A,A,B,A,B,H,H,B,B,B,B,H,H,B,H,A,A,A,A,H,H,H,A,A,A,A,A,H,B,A,A,A,B,B,A,A,B,A,A,A,B,H,H,H,H,A,A,A,A,B
NA,A,H,H,B,B,H,B,H,A,A,B,A,B,B,A,H,H,A,B,H,A,A,H,B,B,B,A,A,H,H,H,H,A,A,H,A,A,B,A,B,B,B,B,A,A,A,A,A,B,H,A,A,B,B,A,B,H,H,H,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,H,B,A,B,H,H,H,H,H
NA,B,H,H,H,B,H,B,H,B,B,B,H,B,B,B,H,H,A,H,H,H,A,H,A,H,H,A,A,H,H,H,H,A,A,A,A,A,A,B,H,A,A,H,A,A,B,-,B,B,B,H,B,H,H,H,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,H,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,A,A,B
NA,A,B,A,B,B,A,B,A,A,A,B,A,B,B,B,H,H,B,B,H,B,B,H,B,B,B,B,B,H,H,H,H,B,B,H,B,B,A,A,A,B,A,B,B,B,A,A,A,A,A,H,A,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B
NA,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,A,A,H,H,B,H,H,A,A,A,H,H,H,A,A,A,A,B,B,A,B,B,H,B,A,A,H,A,B,H,B,B,A,H,A,A,A,B,B,A,B,B,B,B,A,A,H,H,A,A,A,A,A,A,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,H,H,H,A,A,A,A,B
NA,B,A,B,A,A,B,A,B,B,B,A,B,A,A,A,H,B,A,A,H,A,A,H,H,H,A,A,A,A,A,A,B,H,H,A,H,H,H,B,A,A,B,B,B,B,B,B,A,A,A,H,A,B,A,A,A,A,A,H,H,A,A,A,H,A,A,A,A,A,H,A,A,H,H,H,H,H,H,A,A,A,A,A,A,B,A,A,A,H,H,A,A,B,A,A,A,H,H,B,A,B,A,H,H,H,H
NA,H,B,A,H,A,A,A,A,H,H,A,H,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,H,H,H,H,H,B,B,B,A,B,A,B,H,B,-,A,H,A,H,A,A,A,B,A,A,A,B,H,B,H,H,B,H,A,A,A,A,A,H,A,A,A,A,H,H,H,A,A,A,B,A,A,H,H,H,H,H,H,A,B,A,B,B,B,H,B,H,H,H,H,H,H,H,H
